Headlines,Time,Description
Facebook to create 500 jobs in new London engineering center,Jun 12 2019,"Facebook will create 500 new tech jobs in London by the end of 2019, including 100 roles in artificial intelligence, with many working on systems to detect and remove malicious content, fake accounts and harmful behavior, it said on Wednesday."
U.S.'s Pompeo: Nations should rethink use of China's Huawei amid coronavirus,Apr 17 2020,"U.S. Secretary of State Mike Pompeo on Friday said China's role in the global coronavirus pandemic is likely to force countries to rethink their telecommunications infrastructure, including the adoption of China-based Huawei's 5G networks."
ECB making 'substantial' inflation progress: Praet,May 03 2018,"Europe's economic slowdown came sooner than expected and factors holding back growth may persist in the near term but the European Central Bank is still making ""substantial"" progress in lifting inflation, ECB Chief Economist Peter Praet said."
AT&T legal win could spur another jumbo bond; more M&As,Jun 13 2018,"NEW YORK (IFR) - AT&T's court victory on Tuesday will likely mean the company will have to return to the bond market to fund its US$85bn acquisition of Time Warner, investors told IFR."
Tightrope Thiam: comeback CEO stung by a spying scandal,Feb 07 2020,"Tidjane Thiam is unlikely to quietly retire after his abrupt exit as chief executive of Credit Suisse, some of those who have worked with him predict."
Airbus pulls anniversary book over fraud probe concerns: sources,Jul 12 2019,"Airbus has halted sales of a new book that the planemaker had commissioned for its 50th anniversary to avoid hampering the manufacturer's attempts to win a settlement in a bribery probe, two people familiar with the matter said."
Tech leads Wall Street's advance after strong jobs data,Jun 01 2018,Wall Street stocks rose on Friday after the latest monthly jobs report pointed to strength in the U.S. economy and geopolitical tensions eased.
China accuses U.S. officials of misleading public on trade war,May 24 2019,"China on Friday accused U.S. officials of lying to the public about their trade war, as rising tensions between the world's two largest economies kept financial markets in a state of unease."
American Airlines waives change fees as United braces for new flight cancellations,Mar 01 2020,American Airlines Group Inc  said on Sunday it was waiving change fees on all newly purchased tickets amid declining air travel demand because of the new coronavirus outbreak.
WeWork delays IPO after frosty investor response,Sep 17 2019,"WeWork owner The We Company has postponed its initial public offering (IPO), walking away from preparations to launch it this month after a lackluster response from investors to its plans."
GE wins $631 million U.S. defense contract: Pentagon,Jul 31 2018,"General Electric Co  has been awarded a $631 million contract for repair, replacement and program support of engine components used on the F/A-18 E/F and EA 18G aircraft, the Pentagon said in a statement on Tuesday."
Hyundai Motor's union votes to strike after wage talks fail,Jul 03 2018,"Hyundai Motor's  unionized workers in South Korea voted on Tuesday to strike over stalled wage talks, adding to the woes of the automaker that is bracing for potential new U.S. tariffs amid falling profits."
Google to invest $550 million in China e-commerce giant JD.com,Jun 18 2018,"Google will invest $550 million in Chinese e-commerce powerhouse JD.com, part of the U.S. internet company's efforts to expand its presence in fast-growing Asian markets and battle rivals including Amazon.com."
China-U.S. trade frictions must be resolved via talks: Chinese official,Apr 04 2018,"Trade frictions between China and the United States must be resolved through negotiations, Vice Finance Minister Zhu Guangyao said on Wednesday, while adding that Beijing will continue to hit back if Washington wants to keep up the fight."
"Stocks rally at start of second quarter on manufacturing data, trade hopes",Apr 01 2019,"Global stocks rallied on Monday, kicking off the second quarter on a strong note, as investors cheered upbeat factory activity data in China and the United States and signs of progress on the U.S.-China trade front."
Britain gives De La Rue more time to appeal blue passport 'snub',Apr 03 2018,"Britain has given De La Rue  an extra two weeks to challenge the decision to award the contract to make new, blue passports after Brexit to a European company."
Aston Martin shares open flat at 19 pounds per share in London debut,Oct 03 2018,Shares in luxury carmaker Aston Martin  opened flat at the offer price of 19 pounds ($24.70) per share in its London debut on Wednesday.
U.S. transport chief said economic issues not a factor in 737 MAX's safety review,Dec 20 2019,"The economic impact of Boeing Co's  planned halt of 737 MAX production will not be considered by U.S. regulators in their ongoing review of when to end the grounding of a plane involved in two major fatal crashes, U.S. Transportation Secretary Elaine Chao said on Friday."
"Dish results beat estimates, shares jump 14.5 percent",Aug 03 2018,"Dish Network Corp  reported better-than-expected quarterly profit and revenue on Friday, as the company lost fewer satellite TV subscribers than expected and said it was on track to build the first phase of its wireless network."
Morgan Stanley deputy chief financial officer to retire,Feb 26 2020,"Morgan Stanley's Deputy Chief Financial Officer Paul Wirth will retire after 15 years with the bank, according to a memo sent to employees seen by Reuters on Wednesday."
U.S. senator urges criminal probe of Amazon.com 'predatory data practices',Apr 28 2020,"Senator Josh Hawley urged the Justice Department on Tuesday to open a criminal probe of Amazon.com Inc, saying the online retailer was building a monopoly using ""predatory data practices"" on vendors using its platform."
"Ford to gradually resume operations, production at Mexican plants",May 27 2020,"Ford Motor Co  will gradually resume operations and production at several of its Mexican plants, the automaker said on Wednesday, as the sector begins to come back online as coronavirus contingencies are relaxed."
Spotify revenue beats but adds fewer-than-expected paid subscribers,Jul 31 2019,"Spotify Technology SA's  lighter-than-expected number of new paid subscribers drove shares as much as 5% lower in trading before the bell, overshadowing revenue, gross margins and user engagement successes in the second quarter."
"Factbox: Spielberg, Oprah to make shows for Apple's new streaming service",Mar 25 2019,Apple Inc unveiled an all new Apple TV app and a streaming service called Apple TV+ at an event on Monday at its California headquarters.
Renault board did not consider replacing Ghosn: interim chairman,Dec 14 2018,"Renault's board did not consider replacing Chief Executive Carlos Ghosn when it met on Thursday, interim chairman Philippe Lagayette said in a statement issued by the carmaker."
Deutsche received information requests from authorities in Danske case,Jan 23 2019,Deutsche Bank  said on Wednesday that it received several requests for information from regulators and law enforcement agencies around the world relating to the Dankse  case.
"Oil climbs 5% on U.S. jobless drop, OPEC+ meeting hopes",Jun 05 2020,Oil prices rose on Friday after an unexpected fall in the May U.S. jobless rate and OPEC's decision to bring forward to Saturday discussions on whether to extend record production cuts.
China says will 'fight back firmly' if U.S. publishes additional tariffs,Jun 19 2018,"China will fight back firmly with ""qualitative"" and ""quantitative"" measures if the United States publishes an additional list of tariffs on Chinese goods, the commerce ministry said, accusing the U.S. of initiating a trade war."
Factbox: Meet McDonald's new CEO: Chris Kempczinski,Nov 04 2019,"McDonald's Corp  head of U.S. operations, Chris Kempczinski, replaced Steve Easterbrook as chief executive officer of the world's largest fast-food chain on Sunday."
Oil gains on Saudi output cuts; rally limited by U.S. output,Feb 13 2019,"Oil prices rose almost 2 percent on Wednesday after top exporter Saudi Arabia said it would cut crude exports and deliver an even deeper cut to its production, but swelling U.S. crude inventories limited the day's gains."
"Airbus, Boeing executives say too early to gauge coronavirus impact on aircraft demand",Mar 03 2020,Executives from planemakers Airbus  and Boeing  said on Tuesday that it was too early to say whether the outbreak of a new coronavirus would affect demand for aircraft.
U.S. surfboard makers not so stoked about China tariffs,Aug 16 2019,"President Donald Trump's decision to slap 10% tariffs on  imported surfboards convinced surf executive Sue Bowers to move  factory jobs out of China - but not back to the United States, which was one goal of Trump's tariffs."
Ryanair's Lauda airline shuts down Vienna base,May 29 2020,"Ryanair's  Austrian carrier Lauda said on Friday it was closing down its Vienna base after failing to reach an agreement with unions on pay, and had already relocated many of its 15 planes to other bases."
Wirecard signs cooperation agreement with SoftBank's Brightstar,Sep 02 2019,"Wirecard has signed a memorandum of understanding with SoftBank's Brightstar and anticipates ""significant transaction volume"" out of the deal, the German fintech announced on Monday."
"Siemens, Alstom sweeten EU antitrust concessions, maybe too late",Jan 25 2019,"Siemens and Alstom on Friday beefed up concessions aimed at allaying EU antitrust concerns about their rail merger deal, a person familiar with the matter said, in a belated and possibly futile move to stave off an EU veto against the deal."
New trade pact leaves most U.S. industry at mercy of Mexico's courts,Oct 22 2018,"The new North American trade agreement ends key legal protections for many U.S. businesses operating in Mexico, leaving their operations exposed to a risk they had avoided under the old trade deal: Mexico's court system."
Vodafone holds off deploying Huawei in core network due to security row,Jan 25 2019,"Vodafone, the world's second largest mobile operator, said it was ""pausing"" the deployment of Huawei equipment in its core networks until Western governments give the Chinese firm full security clearance."
Boeing 737 MAX may not return to service until August: IATA head,May 29 2019,"Boeing Co's 737 MAX is unlikely to return to service before August, the head of the International Air Transport Association (IATA) said on Wednesday, adding that the final say on the timing rested with regulators."
Shareholder calls for separation of J&J's CEO and chairman roles,Mar 02 2020,"Trillium Asset Management LLC has called for the separation of Johnson & Johnson's  chairman and chief executive officer roles, currently held by Alex Gorsky, according to a regulatory filing https://www.sec.gov/Archives/edgar/data/200406/000020040620000014/a2020jnjproxy.htm by the healthcare conglomerate on Monday."
Trump: U.S. had 'very good talk' with China; in-person talks may follow,Jul 19 2019,"U.S. President Donald Trump said on Friday that U.S. Treasury Secretary Steve Mnuchin had a very good talk with his Chinese counterpart, amid signals from China that officials could soon meet face-to-face in their bid to end a yearlong trade war."
U.S. sets preliminary duties of up to 222% on Chinese ceramic tile,Sep 10 2019,The U.S. Commerce Department said on Tuesday that it found that imports of ceramic tile from China are unfairly subsidized and it imposed preliminary duties on them ranging from about 104% to 222%.
Hyundai sees Russia auto market growth slowing in 2019,Dec 24 2018,"South Korea-based carmaker Hyundai Motor Co.  expects growth in the Russian auto market to slow sharply next year, the head of its Russian branch said on Monday."
U.S.-China trade deal not falling apart: White House adviser,May 15 2020,"The U.S.-China ""Phase 1"" trade deal reached in January is not falling apart and the two countries are still working to implement it, the White House's top economic adviser said on Friday, but President Donald Trump added that he was not ""thrilled"" with the agreement."
Ferrari joins European auto lobby ACEA four years after spin-off,Jan 07 2020,"Italian luxury carmaker Ferrari  has become the latest manufacturer to join the European carmakers' association (ACEA), the auto lobby said on Tuesday."
Elevator sale in focus in competitive process: Thyssenkrupp CFO,Feb 13 2020,"A sale of Thyssenkrupp's  elevator division is currently in focus, the group's finance chief said on Thursday, adding an ongoing auction was ""very competitive""."
Chile government approves construction of Walmart distribution center,Sep 26 2018,"The Chilean government said on Wednesday it had approved the construction of a distribution center for Walmart  in its capital Santiago, an investment of about $180 million."
Buffett calls for more accountability for corporate directors,Feb 23 2020,"Warren Buffett on Saturday called on corporate America to make their boards of directors more accountable to shareholders and less beholden to chief executive officers, perhaps by reducing their pay and requiring that they buy more stock."
What stood out in the February U.S. jobs report,Mar 08 2019,"Headline U.S. job growth hit the brakes in February, registering the smallest gain since September 2017 and the third-smallest during the unprecedented run of 101 consecutive months of payrolls gains."
SAP defends $8 billion Qualtrics deal,Nov 16 2018,"Germany's SAP  hit back at suggestions that the German business software group is paying too much for Qualtrics, a U.S. company that specializes in tracking consumer sentiment online."
Lilly to consider more acquisitions like $1.6 billion Armo buy,Nov 06 2018,"Eli Lilly and Co  will consider more acquisitions similar to its $1.6 billion purchase of cancer drug developer Armo Biosciences earlier this year, the drugmaker's chief financial officer said on Tuesday."
"Airbus deliveries climb in H1, sources say, leaving production challenge",Jul 05 2019,"Airbus  deliveries rose about 28% in the first half to just under 390 aircraft, putting the planemaker on course to beat crisis-hit Boeing  in 2019 but handing it a record production task in the second half, industry sources said."
"U.S. sanctions slam Russian ruble, Turkey's lira tumbles",Aug 09 2018,"New U.S. sanctions against Moscow drove down Russia's ruble, while worries that Turkey was sliding into a full-blown economic crisis battered the lira on Thursday, but global equity markets largely shrugged off the turmoil to edge higher."
Trump says U.S. trade delegation to visit China in mid-February: Xinhua,Jan 31 2019,"A U.S. trade delegation will visit China in mid-February for a new round of talks, President Donald Trump told Chinese Vice Premier Liu He, the official Xinhua news agency said on Friday."
"U.S., China putting trade war on hold, Treasury's Mnuchin says",May 20 2018,"The U.S. trade war with China is ""on hold"" after the world's largest economies agreed to drop their tariff threats while they work on a wider trade agreement, U.S. Treasury Secretary Steven Mnuchin said on Sunday."
Door opens for UBS to take majority ownership of China JV,Oct 12 2018,"UBS Group AG  may have moved a step closer towards becoming the first foreign bank to hold majority ownership of its Chinese investment banking operations, after two of its joint venture partners said they had put their stakes up for sale."
Whirlpool to close Italian plant amid protests,Oct 15 2019,"U.S.-listed white goods maker Whirlpool Corp  said on Tuesday it would close its plant in Naples on Nov. 1, despite a final attempt by the Italian government to keep the site open."
Exclusive: Impossible Foods raises $300 million with investors eager for bite of meatless burgers,May 13 2019,"Impossible Foods, which makes a meatless plant-based burger and is backed by celebrities like Serena Williams and Katy Perry, said on Monday it has raised $300 million in the latest round of funding ahead of a possible initial public offering."
U.S. confirms small soybean sale to private Chinese buyer,Aug 01 2019,"The U.S. Department of Agriculture on Thursday confirmed a private Chinese company bought 68,000 tonnes of soybeans in the week ended July 25, the first soybean purchase since Beijing offered to exempt five crushers from import tariffs imposed more than a year ago as part of a U.S.-China trade dispute."
Shipping's financiers turning the tide on shipbreaking practices,May 15 2018,"The shipping industry has long been criticized by campaigners for allowing vessels to be broken up on beaches, endangering workers and polluting the sea and sand."
Why Canada's pot legalization won't stop black-market sales,Jun 08 2018,"Jake Rowinski, a 20-year-old University of Toronto student, buys marijuana every week from one of the many self-described ""medical"" dispensaries in downtown Toronto."
JPMorgan keeps Venezuela in emerging bond indexes: fund managers,Mar 01 2019,"JPMorgan has retained dollar-denominated debt issued by Venezuela and its state-run oil company PDVSA in a key emerging market bond index as part of its monthly rebalancing, according to two fund managers."
Huawei allegations driven by politics not evidence: U.N. telecoms chief,Apr 05 2019,"U.S. security concerns about 5G mobile networks built by Chinese telecoms giant Huawei appear to be driven by politics and trade rather than any evidence, the head of the U.N. internet and telecoms agency said on Friday."
"Apple, in rare reversal, pulls plug on wireless charging mat",Mar 29 2019,"Apple Inc on Friday said it is canceling the AirPower wireless charging mat that the company announced in 2017 on the same day as its iPhone X, a rare public retreat for the gadget maker known for splashy product launches."
"Campbell ends proxy fight with Third Point, adds directors",Nov 26 2018,"Campbell Soup and Third Point LLC settled their proxy contest on Monday by adding two of the hedge fund's nominees to the U.S. food company's board and giving the activist investor a say in selecting Campbell's next CEO, the company said."
Oil rally faces tidal wave of supply,Nov 04 2018,"The oil market's two-year bull run is running into one of its biggest tests in months, facing a tidal wave of supply and growing worries about economic weakness sapping demand worldwide."
"On Japan Sea coast, small firm shows scars of China's economic woes",Mar 14 2019,"In snow country along Japan's northern coast, a small manufacturer of precision moulds is feeling the pain of China's economic slowdown."
Crowds form at Olympic torch event in Japan despite coronavirus caution,Mar 20 2020,"An Olympic torch event in Japan drew hundreds of spectators on the day of the flame's arrival on Friday, creating the type of packed gathering the government and Tokyo 2020 organisers have warned against to prevent coronavirus from spreading further."
KKR earnings slide 23% as weaker deal activity hits revenue,Oct 29 2019,"Private equity firm KKR & Co  reported a 23% year-on-year drop in its quarterly after-tax distributable profit on Tuesday, as fee revenue slid amid a broader slowdown in asset sales by buyout firms."
HSBC flips crime-spotting tool to scope new business,Sep 27 2019,"British bank HSBC  has converted a financial crime-spotting algorithm it was forced to build in the wake of a money-laundering scandal into one that can scope out new business opportunities, bank executives said."
Sky expands against backdrop of takeover battle finale,Jul 26 2018,"Sky  posted double-digit earnings growth after it added another 500,000 customers in its latest financial year, showing why Comcast and Rupert Murdoch's Fox are slugging it out to buy the European pay-TV leader."
Global stocks slide on dimming prospects for sharp U.S. rate cut,Jul 08 2019,Stocks around the world fell on Monday after strong U.S. job gains tempered expectations the Federal Reserve will deliver a large interest rate cut at the end of July.
Brexit seen discussed at G20 next week: EU's Dombrovskis,Apr 06 2019,"Britain's exit from the European Union is likely to be widely discussed at the meeting of the world's G20 financial leaders in Washington next week, the Vice President of the European Commission Valdis Dombrovskis said on Saturday."
U.S. sues to force Altria to unwind investment in Juul,Apr 01 2020,The U.S. Federal Trade Commission said on Wednesday it had filed a complaint aimed at forcing Marlboro maker Altria Group to sell its investment in e-cigarette maker Juul Labs Inc.
UK parliament tells Barclays CEO: explain emergency business loans delays,May 07 2020,The British parliament's treasury committee chairman has told the chief executive of Barclays  to explain delays to granting emergency loans to small businesses.
Uber Eats goes local to find its niche in South African food fight,Jan 02 2020,"A stone's throw from Nelson Mandela's former home in South Africa's Soweto township, Dumile Badela's restaurant is now more hectic and lucrative than ever, thanks to Uber Eats, his hungriest customer yet."
Yum's KFC closes dining rooms at company-owned restaurants in Florida,Jul 13 2020,"The fried chicken chain KFC has closed dining rooms in corporate-owned stores in Florida because of the escalation in coronavirus cases in the state, according to a letter seen by Reuters."
Citigroup allows hedge fund ValueAct more access,Jan 11 2019,"Citigroup Inc  will give ValueAct Capital more access to its books and board of directors, signaling that the bank and the activist hedge fund are deepening their relationship roughly a year after ValueAct first invested in Citi."
China's 2018 trade surplus with U.S. highest on record going back to 2006,Jan 14 2019,"China's trade surplus with the United States rose to $323.32 billion last year, the highest on record going back to 2006, Reuters calculations based on customs data showed on Monday."
Cold Turkey: investor exodus tests Erdogan's economic experiment,Feb 05 2020,"A run on the lira proved a pivotal moment for Turkey's financial markets in 2018, prompting action from Ankara that has tilted the economy inward and frightened off foreign investors."
Sanofi weighing options for consumer healthcare unit: sources,Nov 21 2019,"Sanofi  is considering a joint venture or outright sale among options for its consumer healthcare unit, sources told Reuters, as the French drugmaker prepares to present a new strategic plan next month."
Exclusive: Trump vows 'no concessions' with Turkey over detained U.S. pastor,Aug 21 2018,U.S. President Donald Trump on Monday ruled out agreeing to any demands from Turkey to gain the release of a detained American pastor and said he was not concerned that his tough stance could end up hurting European and emerging market economies.
Facebook expands offerings for video creators to cash in on views,Jun 19 2018,Facebook Inc  launched a matchmaking system Tuesday to cultivate partnerships between advertisers and video creators as the world's largest social media company tries to quickly parallel the variety of commercial opportunities offered by its video rival YouTube.
U.S. plans in-person China trade talks next month: White House adviser,Aug 22 2019,"The Trump administration is still planning for a round of in-person talks between U.S. and Chinese officials in September after a constructive exchange this week between deputy-level negotiators, White House economic adviser Larry Kudlow said on Thursday."
U.S. safety agency OKs advanced headlights for road use,Oct 11 2018,"The U.S. National Highway Traffic Safety Administration on Thursday said it was moving to allow advanced headlights known as ""adaptive driving beams"" to be used in vehicles on U.S. roads that could help prevent nighttime crashes."
"China's factory activity expands, but job losses quicken amid weak exports: Caixin PMI",Jun 30 2020,"China's factory activity grew at a faster clip in June after the government lifted coronavirus lockdown measures and ramped up support steps, but the health crisis continues to pressure exports and jobs, a private business survey showed on Wednesday."
GSK says very confident about consumer margin goal of at least 20 percent,Mar 27 2018,GlaxoSmithKline  reaffirmed its margin goal for its consumer healthcare business after agreeing to buy Novartis  out of their joint venture (JV) for $13 billion.
Bankruptcy court approves Neiman Marcus' plea to access financing,May 09 2020,"U.S. luxury department store chain Neiman Marcus Group said on Friday it received court approval to access $675 million of its debtor-in-possession financing, which will allow continuity of the company's business during Chapter 11 bankruptcy proceedings and enable it to pay employees and vendors."
Fidelity Contrafund cuts value of WeWork stake by 35%,Oct 30 2019,Fidelity Investments cut the value of Contrafund's stake in WeWork Companies Inc by 35% in September amid turmoil surrounding the office-sharing startup's failed initial public offering (IPO).
Traton says will be a strong contributor toward VW's cashflow target,Jan 29 2019,"Volkswagen executive Andreas Renschler on Tuesday said the Traton trucks division will be a ""strong contributor"" toward parent company Volkswagen Group's 10 billion euro  ($11.4 billion) cashflow target for 2020."
Kraft Heinz brings back former CFO after accounting missteps,Aug 26 2019,"Kraft Heinz Co's  newly-appointed chief executive officer replaced finance chief David Knopf on Monday in what he said was a strategic decision, naming the more ""seasoned"" Paulo Basilio, after the company was forced to restate three years of results."
"Exclusive: Shell plans major restructuring around climate drive, CEO tells employees",Jun 23 2020,"Royal Dutch Shell  will announce a major restructuring by the end of the year as the energy company prepares to accelerate its shift towards low-carbon, CEO Ben van Beurden told employees, a company source said."
U.S. banks record $59.1 billion in profits in fourth-quarter of 2018,Feb 21 2019,"The U.S. banking sector recorded $59.1 billion in profits in the fourth quarter of 2018, down slightly from the third quarter's record level but still up significantly from the prior year, according to data from the Federal Deposit Insurance Corporation."
"UPS adding Sunday delivery next year, joining rival FedEx",Jul 23 2019,"United Parcel Service Inc  next year will join rival FedEx Corp  in adding Sunday delivery services, efforts viewed as bids to fend off customer-turned-competitor Amazon.com Inc ."
Advertisers look to online ads for brand growth: Zenith,Mar 26 2018,"Money spent on online advertising has risen rapidly, a leading forecaster said, despite talk about firms trimming digital ad budgets as they question the medium's effectiveness."
SAP bullish on outlook as it beats path from back to front office,Apr 24 2018,"Germany's SAP  announced upbeat results in the seasonally tough first quarter, saying it was gaining ground on competitors Salesforce  and Oracle  in the cloud and that its margin recovery was firmly on track."
Southwest 737 MAX 8 passenger-less flight lands safely after declaring emergency: FAA,Mar 26 2019,"A Southwest Airlines Co Boeing 737 MAX 8 aircraft without passengers and of the type that was grounded two weeks ago, landed safely on Tuesday after declaring an emergency over an engine-related problem leaving Orlando International Airport in Florida, the U.S. Federal Aviation Administration said."
Deutsche Bank staffers cleared but bank fined in money laundering case,Dec 06 2019,"Frankfurt prosecutors have dropped an investigation into two Deutsche Bank  employees accused of aiding tax evasion through a former Virgin Islands unit, although they have fined the lender for compliance lapses."
Standard Life Aberdeen wins $133 billion Lloyds mandate dispute,Mar 19 2019,"Standard Life Aberdeen said it has won a legal battle to stop Lloyds cancelling a 100 billion pound ($133 billion) investment management contract early, a decision which could cost the bank hundreds of millions of pounds in extra fees."
Global airlines body raises alarm over bailout debts,May 26 2020,"Heavy debts inherited from government bailouts and other fund-raising moves will delay the airline industry's recovery from the coronavirus crisis, a trade body said on Tuesday."
China threatens corporate hit-list on eve of new tariffs on U.S. imports,May 31 2019,"China threatened on Friday to unveil an unprecedented hit-list of ""unreliable"" foreign firms, groups and individuals that harm the interests of Chinese companies, as a slate of retaliatory tariffs on imported U.S. goods was set to kick in at midnight."
Take Five: World markets themes for the week ahead,Aug 10 2018,Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them:
White House counsel asked FCC chair about Sinclair Tribune merger status,Aug 16 2018,White House counsel Don McGahn called the head of Federal Communications Commission in July to ask about the status of Sinclair Broadcast Group Inc’s  now abandoned $3.9 billion acquisition of Tribune Media Co .
Police search Renault's headquarters near Paris as part of Ghosn probe,Jul 03 2019,"Police are searching Renault's  corporate headquarters in Boulogne-Billancourt, which a judicial source said was related to an ongoing investigation into ex-Renault boss Carlos Ghosn and his use of Versailles for his 2016 wedding party."
France's AMF watchdog fines Bloomberg €5 million over Vinci hoax,Dec 16 2019,France's markets watchdog AMF said on Monday it had fined U.S. news agency Bloomberg News 5 million euros ($5.5 million) for publishing a hoax press release relating to construction group Vinci  in November 2016.
Factbox: Some rule changes now on go-slow due to U.S. shutdown,Jan 17 2019,The ongoing federal government shutdown is impeding efforts to advance several rule changes that aim to make life easier for financial institutions.
"Uber Freight launches in Germany, taking on local competition",Jul 24 2019,"U.S. ride-hailing company Uber  is launching a freight platform in Germany, taking on local technology startups in a race to grab a share of Europe's $500 billion trucking market."
Tencent Music hits low pitch after first earnings report exposes costs,Mar 19 2019,"Chinese streaming firm Tencent Music Entertainment Group delivered its first earnings report as a public company, meeting market expectations but exposing soaring license and content production costs which pulled its shares down 6 percent."
"As oil rises, warnings emerge from U.S. retailers",May 17 2018,"Worries about rising oil prices have begun to creep into U.S. retailers' earnings calls, and investors are raising concerns that those costs may slow discretionary spending among Americans and push down the performance of the retailers' shares."
Germany will require all petrol stations to provide electric car charging,Jun 04 2020,Germany said it will oblige all petrol stations to offer electric car charging to help remove refuelling concerns and boost consumer demand for the vehicles as part of its 130 billion euro ($146 billion) economic recovery plan.
Nissan to stop producing cars in Indonesia as part of reorganization plan,Mar 18 2020,"Nissan Motor Co  said on Wednesday it would stop producing vehicles in Indonesia, consolidating its global production in the face of falling sales which have pummeled its profitability."
Shares of SoftBank-backed OneConnect rise 5% in U.S. market debut,Dec 13 2019,"Shares of OneConnect Financial Technology jumped 5% in their U.S. market debut on Friday, valuing the Chinese cloud tech firm at $3.79 billion."
South Korea's due diligence on GM's local unit going 'smoothly': source,Mar 27 2018,"South Korea's due diligence on General Motor's local unit is ""going smoothly"" as the U.S. automaker has submitted a number of documents to help the process, a source with direct knowledge of the matter told Reuters on Tuesday."
Avianca seeks to cut Airbus order as much as half: CEO,Dec 10 2018,"Airline Avianca Holdings SA  will begin negotiations with Airbus  to reduce the 100 planes it had agreed to purchase in a 2015 deal to as few as 50, the chief executive of the Latin American company said."
Explainer: Will China dump U.S. bonds as a trade weapon? Not so fast,Jun 19 2019,The trade war between Beijing and Washington has stoked concern in financial markets that China might opt to weaponize its holdings of more than $1.1 trillion worth of U.S. Treasuries in retaliation for the tariffs the Trump administration has imposed on Chinese imports.
New Jersey jury finds J&J not liable in talc cancer trial; company settles three other cases,Mar 27 2019,A New Jersey jury on Wednesday cleared Johnson & Johnson of liability in a lawsuit brought by a man who said that asbestos in the company's talcum powder products caused his mesothelioma.
Ahold ups stakes in U.S. grocery war with mini-'robot supermarkets',Nov 07 2018,"Grocery group Ahold Delhaize will roll out small, automated warehouses to speed order picking and cut delivery times, Reuters has learned, as it revamps its ecommerce business in response to rising competition in a fast-growing sector."
Factbox: Tariff wars - duties imposed by Trump and U.S. trading partners,Nov 30 2018,"U.S. President Donald Trump has rattled the world trade order by imposing unilateral tariffs to combat what he calls unfair trade practices by China, the European Union and other major trading partners of the United States."
"On eve of trial on Time Warner deal, AT&T, U.S. government lay out cases",Mar 20 2018,"In a preview of arguments in a trial over AT&T's  deal to buy Time Warner Inc , government lawyers said on Tuesday the deal will raise prices for consumers while AT&T's lawyer argued the company has no reason to withhold programming from competitors as feared."
Goldman Sachs unveils internal campaign on use of gender identity pronouns,Nov 22 2019,Goldman Sachs Group Inc  said on Friday it has launched an internal campaign to promote awareness about pronouns and how employees self-identify.
"Apple woos investors with China gain, market value nears $1 trillion",Jul 31 2019,"Apple Inc shares  rose 4.4% on Wednesday, after the company calmed Wall Street nerves with an improvement in sales in China and as several brokerages predicted a boost from its services business and the launch of new iPhones in the second half of 2019."
"Elon Musk's tweets bring controversy, nearly 30 million followers",Dec 03 2019,"Trial began in U.S. District Court in Los Angeles on Tuesday in a defamation lawsuit brought against Elon Musk by British cave diver Vernon Unsworth over three July 15, 2018 tweets by the Tesla chief executive, one calling him ""pedo guy."""
LSE offers no concessions to avert deeper EU probe of Refinitiv deal: sources,Jun 15 2020,"The London Stock Exchange  will not offer concessions to EU antitrust regulators reviewing its $27 billion bid for data and analytics company Refinitiv, two people familiar with the matter said, a move which will likely trigger a four-month probe."
"Delays at U.S.-Mexico border crossing hits autos, trucks still lining up",Apr 08 2019,"Long delays at the U.S.-Mexico border crossing for goods destined for American plants and consumers are hitting the U.S. auto industry, and the gridlock reduced by half the number of northbound trucks that crossed the entry point last week."
ECB Draghi: Euro area economy in period of 'protracted weakness',Sep 12 2019,"European Central Bank President Mario Draghi said on Thursday that the euro zone economy was in a period of ""protracted"" economic weakness, with inflation staying low and the balance of risks tilted toward the downside."
Factbox: U.S. executives warn consumers will pay for Trump's tariffs,May 16 2019,"Some executives from U.S. companies that sell clothing, food and other products warn that costs related to the latest round of tariffs on goods from China will be passed along to consumers in the form of higher prices."
Exxon Mobil calls for tighter methane regulations,Mar 03 2020,Exxon Mobil on Tuesday called for tighter regulation of the greenhouse gas methane and offered up its own in-house rules as a model for companies and lawmakers worldwide.
Symantec names three Starboard nominees to board,Sep 17 2018,"Symantec Corp  said on Monday it named three nominees of Starboard Value LP to the Norton anti-virus software maker's board, barely a month after the activist investor took a stake in the company to push for a change."
"Tim Hortons China says Tencent has invested, did not disclose amount",May 11 2020,"Tim Hortons China said Tuesday it received an investment from Chinese tech giant Tencent, as the Canadian coffee brewer seeks to expand in the Chinese market."
Kroger set to place warehouse order with partner Ocado,Oct 30 2018,U.S. supermarket chain Kroger Co is expected to order the first three of 20 high-tech warehouses from online grocer Ocado by the end of the year under the terms of a breakthrough deal agreed in May.
Oil prices slump as OPEC and Russia consider output boost,May 25 2018,Oil prices fell more than $2 per barrel on Friday as Saudi Arabia and Russia discussed easing production cuts that have helped push crude prices to their highest since 2014.
White House official warns of negative shocks before rebound later in 2020,Apr 29 2020,"Top Trump adminstration officials on Tuesday predicted a strong economic rebound in the fourth quarter as the coronavirus fades, but a senior White House adviser warned that near-term unemployment and GDP data will be a ""very grave"" negative shock."
Southwest cancels about 40 flights for engine inspections,Apr 22 2018,"Southwest Airlines Co  said it canceled about 40 flights on Sunday, or 1 percent of those scheduled, as it inspects engines after last week’s deadly accident in Pennsylvania."
